Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
00:00:00,70 °F,46 °F,"43,00%",NE,13 mph,0 mph,29.88 in,0.0 in,Fair
00:30:00,70 °F,46 °F,"43,00%",NE,11 mph,0 mph,29.91 in,0.0 in,Fair
01:00:00,70 °F,48 °F,"46,00%",NE,11 mph,0 mph,29.91 in,0.0 in,Fair
01:30:00,68 °F,48 °F,"49,00%",NE,11 mph,0 mph,29.91 in,0.0 in,Fair
02:00:00,68 °F,48 °F,"49,00%",NE,9 mph,0 mph,29.91 in,0.0 in,Fair
02:30:00,66 °F,48 °F,"52,00%",NE,9 mph,0 mph,29.91 in,0.0 in,Fair
03:00:00,66 °F,48 °F,"52,00%",NE,9 mph,0 mph,29.91 in,0.0 in,Fair
03:30:00,64 °F,48 °F,"56,00%",NE,9 mph,0 mph,29.91 in,0.0 in,Fair
04:00:00,64 °F,46 °F,"52,00%",NE,9 mph,0 mph,29.91 in,0.0 in,Fair
04:30:00,64 °F,46 °F,"52,00%",NE,7 mph,0 mph,29.94 in,0.0 in,Fair
05:00:00,63 °F,46 °F,"55,00%",NE,7 mph,0 mph,29.94 in,0.0 in,Fair
05:30:00,63 °F,46 °F,"55,00%",NE,4 mph,0 mph,29.94 in,0.0 in,Fair
06:00:00,63 °F,48 °F,"59,00%",NNE,4 mph,0 mph,29.94 in,0.0 in,Fair
06:30:00,61 °F,46 °F,"59,00%",NNE,7 mph,0 mph,29.94 in,0.0 in,Fair
07:00:00,63 °F,46 °F,"55,00%",NE,7 mph,0 mph,29.94 in,0.0 in,Fair
07:30:00,63 °F,46 °F,"55,00%",NNE,7 mph,0 mph,29.96 in,0.0 in,Fair
08:00:00,64 °F,48 °F,"56,00%",NE,7 mph,0 mph,29.96 in,0.0 in,Fair
08:30:00,66 °F,48 °F,"52,00%",NE,9 mph,0 mph,29.96 in,0.0 in,Fair
09:00:00,68 °F,48 °F,"49,00%",NE,9 mph,0 mph,29.96 in,0.0 in,Fair
09:30:00,70 °F,50 °F,"49,00%",NE,9 mph,0 mph,29.96 in,0.0 in,Fair
10:00:00,72 °F,50 °F,"46,00%",NE,11 mph,0 mph,29.99 in,0.0 in,Fair
10:30:00,72 °F,50 °F,"46,00%",ENE,9 mph,0 mph,29.99 in,0.0 in,Fair
11:00:00,75 °F,46 °F,"36,00%",ENE,11 mph,0 mph,29.99 in,0.0 in,Fair
11:30:00,75 °F,45 °F,"34,00%",ENE,11 mph,0 mph,29.99 in,0.0 in,Fair
12:00:00,79 °F,41 °F,"26,00%",NE,11 mph,0 mph,29.99 in,0.0 in,Fair
12:30:00,79 °F,41 °F,"26,00%",ENE,11 mph,0 mph,29.99 in,0.0 in,Fair
13:00:00,79 °F,41 °F,"26,00%",ENE,9 mph,0 mph,29.99 in,0.0 in,Fair
13:30:00,79 °F,41 °F,"26,00%",ENE,9 mph,0 mph,29.99 in,0.0 in,Fair
14:00:00,79 °F,39 °F,"24,00%",E,9 mph,0 mph,29.99 in,0.0 in,Fair
14:30:00,81 °F,39 °F,"23,00%",ENE,11 mph,0 mph,29.96 in,0.0 in,Fair
15:00:00,79 °F,41 °F,"26,00%",ESE,9 mph,0 mph,29.96 in,0.0 in,Fair
15:30:00,81 °F,41 °F,"24,00%",ESE,9 mph,0 mph,29.96 in,0.0 in,Fair
16:00:00,81 °F,39 °F,"23,00%",E,7 mph,0 mph,29.96 in,0.0 in,Fair
16:30:00,81 °F,39 °F,"23,00%",E,4 mph,0 mph,29.96 in,0.0 in,Fair
17:00:00,81 °F,39 °F,"23,00%",ESE,7 mph,0 mph,29.96 in,0.0 in,Fair
17:30:00,81 °F,37 °F,"21,00%",CALM,0 mph,0 mph,29.96 in,0.0 in,Fair
18:00:00,81 °F,37 °F,"21,00%",ESE,2 mph,0 mph,29.96 in,0.0 in,Fair
18:30:00,79 °F,37 °F,"23,00%",CALM,0 mph,0 mph,29.96 in,0.0 in,Fair
19:00:00,79 °F,39 °F,"24,00%",CALM,0 mph,0 mph,29.96 in,0.0 in,Fair
19:30:00,75 °F,39 °F,"27,00%",CALM,0 mph,0 mph,29.96 in,0.0 in,Fair
20:00:00,72 °F,45 °F,"38,00%",CALM,0 mph,0 mph,29.96 in,0.0 in,Fair
20:30:00,68 °F,45 °F,"43,00%",NNW,4 mph,0 mph,29.96 in,0.0 in,Fair
21:00:00,64 °F,45 °F,"49,00%",N,4 mph,0 mph,29.96 in,0.0 in,Fair
21:30:00,68 °F,43 °F,"40,00%",N,4 mph,0 mph,29.96 in,0.0 in,Fair
22:00:00,68 °F,45 °F,"43,00%",NNE,4 mph,0 mph,29.96 in,0.0 in,Fair
22:30:00,66 °F,45 °F,"46,00%",NNE,4 mph,0 mph,29.99 in,0.0 in,Fair
23:00:00,64 °F,46 °F,"52,00%",NE,4 mph,0 mph,29.99 in,0.0 in,Fair
23:30:00,66 °F,43 °F,"43,00%",NE,4 mph,0 mph,29.99 in,0.0 in,Fair
